,question_id,horizon,truth,date
0,11039,1,260.0,2022-06-24
1,11039,2,171.0,2022-06-17
2,11039,3,125.0,2022-06-10
3,11039,4,65.0,2022-06-03
4,11039,5,58.16666666666666,2022-05-27
5,10981,1,-1.0,2022-06-24
6,10981,2,22.0,2022-06-17
7,10981,3,15.0,2022-06-10
8,10981,4,10.0,2022-06-03
9,10981,5,8.0,2022-05-27
10,10981,6,-1.0,2022-05-20
11,10979,1,201.0,2022-06-24
12,10979,2,113.0,2022-06-17
13,10979,3,51.0,2022-06-10
14,10979,4,27.0,2022-06-03
15,10979,5,13.0,2022-05-27
16,10979,6,2.333333333333333,2022-05-20
17,10978,1,3896.0,2022-06-24
18,10978,2,2433.0,2022-06-17
19,10978,3,1445.0,2022-06-10
20,10978,4,899.0,2022-06-03
21,10978,5,446.0,2022-05-27
22,10978,6,134.0,2022-05-20
23,10975,1,80.0,2022-07-24
24,10975,2,77.0,2022-07-17
25,10975,3,72.0,2022-07-10
26,10975,4,67.0,2022-07-03
27,10975,5,63.0,2022-06-26
28,10975,6,52.0,2022-06-19
29,10975,7,47.0,2022-06-12
30,10975,8,38.0,2022-06-05
